doc_id,companies
0000022192,яндекс;lamoda
0000022204,яндекс;максимателеком;мтс
0000022209,вконтакте
0000022213,яндекс;gett
0000022222,lamoda
0000022223,gett
0000022224,вконтакте;mail;mail.ru;одноклассники
0000022227,яндекс
0000022231,mail;mail.ru
0000022233,вконтакте;vk
0000022235,mail;mail.ru;контур;финам
0000022237,microsoft
0000022238,яндекс
0000022242,qiwi
0000022244,рбк
0000022246,coub
0000022249,mail;mail.ru;сибур
0000022252,яндекс
0000022258,рбк
0000022261,рбк
0000022263,mail;mail.ru;gett
0000022267,яндекс;тнт;вконтакте;одноклассники
0000022271,mail;mail.ru;вконтакте;vk;яндекс;qiwi
0000022276,вконтакте;одноклассники;ростелеком
0000022281,вконтакте;microsoft
0000022285,intel;microsoft
0000022286,втб
0000022287,тинькофф
0000022291,boomstarter
0000022292,microsoft
0000022295,тнт;mail.ru;mail
0000022303,яндекс
0000022305,тинькофф
0000022306,втб
0000022313,рбк;втб;ростелеком
0000022315,ростелеком
0000022319,ozon
0000022325,mail;mail.ru
0000022328,мегафон;рбк;мтс
0000022340,мтс
0000022342,рбк;ростелеком
0000022344,тинькофф
0000022347,рбк
0000022353,лайфхакер;фоксфорд
0000022362,рбк
0000022364,вконтакте
0000022367,simple
0000022371,mail;mail.ru;microsoft;rambler&co
0000022375,microsoft
0000022380,почта россии;metro;рбк
0000022381,яндекс;gett;рбк
0000022387,мегафон;мтс
0000022389,didi
0000022391,mail;mail.ru
0000022392,тинькофф;microsoft
0000022400,яндекс
0000022402,вконтакте
0000022403,microsoft
0000022406,сбер
0000022407,яндекс;gett;рбк
0000022408,яндекс;яндекс.маркет;рбк
0000022411,уралсиб;тинькофф
0000022417,mail;mail.ru
0000022418,одноклассники
0000022424,pixonic
0000022432,mail;mail.ru
0000022442,microsoft
0000022443,рбк
